overall_rank,position,position_rank,player_name,team,adp
91,QB,QB11,Brock Purdy,SF,95.7
92,WR,WR41,Jordan Addison,MIN,97.1
93,RB,RB32,Travis Etienne Jr.,JAC,98.3
94,RB,RB33,J.K. Dobbins,DEN,98.8
95,TE,TE10,Tyler Warren,IND,99.5
96,TE,TE11,Tucker Kraft,GB,100.6
97,WR,WR42,Matthew Golden,GB,101.3
98,RB,RB34,Tank Bigsby,JAC,104.2
99,RB,RB35,Zach Charbonnet,SEA,104.8
100,WR,WR43,Cooper Kupp,SEA,105.4
101,RB,RB36,Jacory Croskey-Merritt,WAS,107.2
102,K,K1,Brandon Aubrey,DAL,107.4
103,RB,RB37,Brian Robinson Jr.,SF,107.8
104,RB,RB38,Cam Skattebo,NYG,109.3
105,QB,QB12,Justin Fields,NYJ,109.4
106,DST,DST1,P. Eagles,PHI,109.5
107,WR,WR44,Jauan Jennings,SF,110.8
108,DST,DST2,D. Broncos,DEN,111.0
109,RB,RB39,Rhamondre Stevenson,NE,114.1
110,RB,RB40,Javonte Williams,DAL,115.6
111,RB,RB41,Quinshon Judkins,CLE,117.1
112,QB,QB13,Jared Goff,DET,117.2
113,WR,WR45,Jayden Reed,GB,117.5
114,WR,WR46,Khalil Shakir,BUF,118.1
115,QB,QB14,Justin Herbert,LAC,118.6
116,QB,QB15,Caleb Williams,CHI,119.1
117,WR,WR47,Michael Pittman Jr.,IND,120.4
118,RB,RB42,Austin Ekeler,WAS,120.4
119,WR,WR48,C. Godwin Jr.,TB,120.7
120,DST,DST3,B. Ravens,BAL,123.2
121,QB,QB16,Drake Maye,NE,123.7
122,WR,WR49,Keon Coleman,BUF,124.7
123,TE,TE12,Dalton Kincaid,BUF,126.1
124,WR,WR50,Josh Downs,IND,126.5
125,RB,RB43,Braelon Allen,NYJ,126.7
126,DST,DST4,P. Steelers,PIT,126.8
127,TE,TE13,Jake Ferguson,DAL,126.8
128,TE,TE14,Colston Loveland,CHI,126.8
129,K,K2,Cameron Dicker,LAC,130.1
130,QB,QB17,C.J. Stroud,HOU,132.3
131,QB,QB18,Jordan Love,GB,132.4
132,WR,WR51,Rashid Shaheed,NO,133.2
133,RB,RB44,Bhayshul Tuten,JAC,133.2
134,TE,TE15,Dallas Goedert,PHI,134.6
135,RB,RB45,Nick Chubb,HOU,135.4
136,TE,TE16,Kyle Pitts Sr.,ATL,135.4
137,K,K3,Jake Bates,DET,136.7
138,DST,DST5,Bills D/ST,BUF,137.3
139,RB,RB46,Najee Harris,LAC,138.7
140,RB,RB47,Jaydon Blue,DAL,139.7
141,DST,DST6,M. Vikings,MIN,140.8
142,RB,RB48,Rachaad White,TB,141.0
143,DST,DST7,H. Texans,HOU,141.2
144,WR,WR52,Darnell Mooney,ATL,141.4
145,QB,QB19,J.J. McCarthy,MIN,142.2
146,WR,WR53,Brandon Aiyuk,SF,142.4
147,RB,RB49,Tyjae Spears,TEN,142.6
148,RB,RB50,Trey Benson,ARI,143.3
149,RB,RB51,Tyler Allgeier,ATL,144.0
150,RB,RB52,Ray Davis,BUF,144.3
151,WR,WR54,Rashod Bateman,BAL,144.3
152,WR,WR55,Keenan Allen,LAC,144.4
153,K,K4,Ka'imi Fairbairn,HOU,145.0
154,QB,QB20,Trevor Lawrence,JAC,145.2
155,RB,RB53,Jerome Ford,CLE,145.4
156,K,K5,Chris Boswell,PIT,146.2
157,WR,WR56,Jayden Higgins,HOU,146.5
158,WR,WR57,Marvin Mims Jr.,DEN,146.8
159,RB,RB54,Dylan Sampson,CLE,147.8
160,DST,DST8,K. City Chiefs,KC,147.8
161,WR,WR58,Christian Kirk,HOU,148.1
162,DST,DST9,D. Lions,DET,148.5
163,K,K6,Harrison Butker,KC,149.2
164,K,K7,Chase McLaughlin,TB,149.4
165,TE,TE17,Hunter Henry,NE,150.0
166,TE,TE18,Zach Ertz,WAS,150.5
167,TE,TE19,Jonnu Smith,PIT,152.6
168,DST,DST10,S. Francisco 49ers,SF,153.0
169,K,K8,Wil Lutz,DEN,154.1
170,RB,RB55,Isaac Guerendo,SF,154.2
171,WR,WR59,Luther Burden III,CHI,154.6
172,K,K9,Evan McPherson,CIN,154.8
173,K,K10,Jake Elliott,PHI,155.4
174,QB,QB21,Cameron Ward,TEN,158.0
175,QB,QB22,Michael Penix Jr.,ATL,158.1
176,DST,DST11,L. Angeles Chargers,LAC,158.8
177,QB,QB23,Tua Tagovailoa,MIA,159.1
178,RB,RB56,Rico Dowdle,CAR,159.1
179,WR,WR60,Tre Harris,LAC,159.2
180,WR,WR61,Cedric Tillman,CLE,159.5
181,K,K11,Jason Sanders,MIA,159.6
182,RB,RB57,Ollie Gordon II,MIA,160.1
183,QB,QB24,Matthew Stafford,LAR,160.3
184,WR,WR62,Adam Thielen,CAR,160.4
185,RB,RB58,Jaylen Wright,MIA,160.8
186,WR,WR63,Joshua Palmer,BUF,161.2
187,WR,WR64,M. Brown,KC,161.3
188,QB,QB25,Bryce Young,CAR,161.4
189,RB,RB59,Kareem Hunt,KC,161.6
190,QB,QB26,Geno Smith,LV,161.8
191,DST,DST12,C. Bears,CHI,161.9
192,K,K12,C. Little,JAC,162.0
193,WR,WR65,Wan'Dale Robinson,NYG,162.1
194,TE,TE20,Brenton Strange,JAC,162.6
195,WR,WR66,DeMario Douglas,NE,162.7
196,WR,WR67,DeAndre Hopkins,BAL,162.8
197,RB,RB60,Will Shipley,PHI,162.8
198,WR,WR68,Romeo Doubs,GB,162.8
199,TE,TE21,Chigoziem Okonkwo,TEN,162.9
200,K,K13,Tyler Bass,BUF,163.0
201,DST,DST13,Seahawks D/ST,SEA,163.0
202,DST,DST14,D. Cowboys,DAL,163.7
203,WR,WR69,Kyren Williams,NE,163.8
204,DST,DST15,G. Bay Packers,GB,163.8
205,TE,TE22,Isaiah Likely,BAL,163.9
206,RB,RB61,Kyle Monangai,CHI,164.1
207,RB,RB62,Roschon Johnson,CHI,164.1
208,K,K14,Y. Koo,ATL,164.2
209,K,K15,Matt Gay,WAS,164.3
210,TE,TE23,Mason Taylor,NYJ,164.4
211,QB,QB27,Sam Darnold,SEA,164.5
212,DST,DST16,L. Angeles Rams,LAR,164.5
213,WR,WR70,Xavier Legette,CAR,164.6
214,RB,RB63,Blake Corum,LAR,164.8
215,DST,DST17,C. Bengals,CIN,165.0
216,QB,QB28,Aaron Rodgers,PIT,165.3
217,TE,TE24,Darren Waller,MIA,165.5
218,RB,RB64,Woody Marks,HOU,165.6
219,DST,DST18,W. Commanders,WAS,165.6
220,RB,RB65,Miles Sanders,DAL,165.7
221,DST,DST19,N. York Jets,NYJ,165.8
222,DST,DST20,N. York Giants,NYG,165.9
223,TE,TE25,Pat Freiermuth,PIT,166.0
224,DST,DST21,T. Bay Buccaneers,TB,166.0
225,K,K16,Tyler Loop,BAL,166.0
226,WR,WR71,Alec Pierce,IND,166.0
227,TE,TE26,Dalton Schultz,HOU,166.3
228,K,K17,W. Reichard,MIN,166.4
229,WR,WR72,Pat Bryant,DEN,166.7
230,DST,DST22,C. Browns,CLE,166.7
231,TE,TE27,Cade Otton,TB,166.7
232,WR,WR73,Quentin Johnston,LAC,166.8
233,RB,RB66,Jarquez Hunter,LAR,166.8
234,RB,RB67,Tahj Brooks,CIN,166.8
235,WR,WR74,Darius Slayton,NYG,166.9
236,TE,TE28,Elijah Arroyo,SEA,166.9
237,DST,DST23,A. Cardinals,ARI,166.9
238,QB,QB29,J. Dart,NYG,167.1
239,TE,TE29,C. Kmet,CHI,167.2
240,RB,RB68,MarShawn Lloyd,GB,167.2
241,RB,RB69,Keaton Mitchell,BAL,167.3
242,RB,RB70,Justice Hill,BAL,167.3
243,QB,QB30,A. Richardson Sr.,IND,167.4
244,TE,TE30,Mike Gesicki,CIN,167.4
245,K,K18,D. Carlson,LV,167.4
246,WR,WR75,Tyler Lockett,TEN,167.5
247,RB,RB71,J. McLaughlin,DEN,167.5
248,TE,TE31,Jason Sanders,CAR,167.5
249,WR,WR76,Dont'e Thornton Jr.,LV,167.6
250,WR,WR77,I. TeSlaa,DET,167.6
251,RB,RB72,Raheem Mostert,LV,167.6
252,RB,RB73,Kendre Miller,NO,167.6
253,WR,WR78,Jalen McMillan,TB,167.7
254,DST,DST24,N. England Patriots,NE,167.7
255,WR,WR79,Michael Wilson,ARI,167.7
256,RB,RB74,Brashard Smith,KC,167.8
257,K,K19,J. Moody,SF,167.8
258,TE,TE32,Theo Johnson,NYG,167.9
259,QB,QB31,S. Sanders,CLE,167.9
260,RB,RB75,C. Rodriguez Jr.,WAS,167.9
261,WR,WR80,Adonai Mitchell,IND,167.9
262,RB,RB76,DJ Giddens,IND,168.0
263,WR,WR81,T. Horton,SEA,168.0
264,WR,WR82,Amari Cooper,FA,168.0
265,WR,WR83,Jack Bech,LV,168.0
266,RB,RB77,Sean Tucker,TB,168.3
267,QB,QB32,Russell Wilson,NYG,168.3
268,WR,WR84,E. Ayomanor,TEN,168.3
269,WR,WR85,R. Wilson,PIT,168.4
270,RB,RB78,D. Pierce,HOU,168.4
271,K,K20,Brandon McManus,GB,168.5
272,WR,WR86,J. Royals,KC,168.5
273,K,K21,Joshua Karty,LAR,168.6
274,WR,WR87,Jaylin Noel,HOU,168.6
275,WR,WR88,Andrei Iosivas,CIN,168.7
276,WR,WR89,Jalen Coker,CAR,168.8
277,DST,DST25,M. Dolphins,MIA,168.8
278,WR,WR90,Dyami Brown,JAC,169.0
279,WR,WR91,Diontae Johnson,CLE,169.0
280,K,K22,Jason Myers,SEA,169.1
281,WR,WR92,T. Franklin,DEN,169.2
