PLAYER,POS,TEAM,ESPN_ALG,ESPN_PROJ,ADP_SLEEPER,ACTUAL_DRAFT_20250823,BYE
Rome Odunze,WR,CHI,57,60,82.6,55,5
DeVonta Smith,WR,PHI,58,57,59.4,63,9
Jaylen Waddle,WR,MIA,59,59,69.9,64,5
Patrick Mahomes,QB,KC,60,62,55.6,56,10
Baker Mayfield,QB,TB,61,63,77.2,60,5
Tetairoa McMillan,WR,CAR,62,64,67.0,65,11
Jerry Jeudy,WR,CLE,63,65,88.8,71,10
Travis Hunter,WR,JAC,64,66,77.4,67,
David Montgomery,RB,DET,65,67,57.3,57,8
Tony Pollard,RB,TEN,66,68,59.8,58,5
T.J. Hockenson,TE,MIN,67,69,70.2,70,6
Isiah Pacheco,RB,KC,68,70,61.1,73,10
Aaron Jones Sr.,RB,MIN,69,71,65.9,76,6
RJ Harvey,RB,DEN,70,72,55.7,68,7
Chris Godwin,WR,TB,71,73,,86,5
Matthew Golden,WR,GB,72,74,101.3,69,10
Jakobi Meyers,WR,LV,73,76,92.6,77,8
Cooper Kupp,WR,SEA,74,75,105.4,89,5
Jordan Addison,WR,MIN,75,78,97.1,87,6
Emeka Egbuka,WR,TB,76,112,84.4,83,5
Kaleb Johnson,RB,PIT,77,80,70.3,80,8
David Njoku,TE,CLE,78,85,95.1,82,10
Evan Engram,TE,DEN,79,113,93.5,84,7
Bo Nix,QB,DEN,80,87,77.5,90,7
Kyler Murray,QB,ARI,81,88,95.7,91,
Brock Purdy,QB,SF,82,89,95.7,92,14
Joe Mixon,RB,HOU,83,82,86.8,81,7
Jaylen Warren,RB,PIT,84,91,87.6,85,8
Austin Ekeler,RB,WAS,85,115,120.4,88,12
J.K. Dobbins,RB,DEN,86,93,98.8,99,7
Rhamondre Stevenson,RB,NE,87,94,114.1,98,11
Javonte Williams,RB,DAL,88,95,115.6,100,10
Stefon Diggs,WR,NE,89,96,93.2,103,11
Keon Coleman,WR,BUF,90,97,124.7,101,12
Jauan Jennings,WR,SF,91,98,110.8,117,14
Ricky Pearsall,WR,SF,92,99,86.2,112,14
Khalil Shakir,WR,BUF,93,100,118.1,107,12
Jayden Reed,WR,GB,94,101,117.5,109,10
Michael Pittman Jr.,WR,IND,95,102,120.4,102,14
Justin Herbert,QB,LAC,96,103,118.6,93,8
Caleb Williams,QB,CHI,97,104,119.1,94,5
Dak Prescott,QB,DAL,98,105,93.9,95,10
Justin Fields,QB,NYJ,99,106,109.4,96,5
Darnell Mooney,WR,ATL,100,107,141.4,110,5
Keenan Allen,WR,LAC,101,108,144.4,113,8
Josh Downs,WR,IND,102,109,126.5,115,14
Rashid Shaheed,WR,NO,103,110,133.2,118,12
Jayden Higgins,WR,HOU,104,111,146.5,116,7
Tyler Warren,TE,IND,105,126,99.5,97,14
Cam Skattebo,RB,NYG,106,114,109.3,111,11
Tank Bigsby,RB,JAC,107,116,104.2,114,
Jordan Mason,RB,MIN,108,117,85.3,119,6
Tyjae Spears,RB,TEN,109,118,142.6,120,5
Travis Etienne Jr.,RB,JAC,110,119,98.3,121,
Quinshon Judkins,RB,CLE,111,92,117.1,123,10
Rachaad White,RB,TB,112,130,141.0,122,5
Drake Maye,QB,NE,113,121,123.7,124,11
Jordan Love,QB,GB,114,122,132.4,128,10
Jared Goff,QB,DET,115,123,117.2,126,8
J.J. McCarthy,QB,MIN,116,124,142.2,133,6
Colston Loveland,TE,CHI,117,125,126.8,105,5
Tucker Kraft,TE,GB,118,86,100.6,106,10
Dallas Goedert,TE,PHI,119,128,134.6,108,9
Kyle Pitts Sr.,TE,ATL,120,127,135.4,131,5
Dalton Kincaid,TE,BUF,121,129,126.1,125,12
Trey Benson,RB,ARI,122,120,143.3,129,
Zach Charbonnet,RB,SEA,123,131,104.8,127,5
Tyler Allgeier,RB,ATL,124,132,144.0,130,5
Jaydon Blue,RB,DAL,125,133,139.7,134,10
Jaylen Wright,RB,MIA,126,135,160.8,137,5
Braelon Allen,RB,NYJ,127,134,126.7,135,5
Adam Thielen,WR,CAR,128,136,160.4,132,11
Xavier Legette,WR,CAR,129,137,164.6,140,11
Cedric Tillman,WR,CLE,130,138,159.5,143,10
Hollywood Brown,WR,KC,131,139,,136,10
Brandon Aiyuk,WR,SF,132,140,142.4,138,14
Hunter Henry,TE,NE,133,141,150.0,144,11
Jake Ferguson,TE,DAL,134,142,126.8,141,10
Tua Tagovailoa,QB,MIA,135,143,159.1,145,5
Matthew Stafford,QB,LAR,136,144,160.3,146,6
C.J. Stroud,QB,HOU,137,145,132.3,147,7
Jerome Ford,RB,CLE,138,147,145.4,139,10
Najee Harris,RB,LAC,139,146,138.7,142,8
Bhayshul Tuten,RB,JAC,140,148,133.2,148,
Ray Davis,RB,BUF,141,150,144.3,157,12
Will Shipley,RB,PHI,142,151,162.8,155,9
Nick Chubb,RB,HOU,143,160,135.4,156,7
Wan'Dale Robinson,WR,NYG,144,152,162.1,160,11
Marvin Mims Jr.,WR,DEN,145,153,146.8,170,7
Christian Kirk,WR,HOU,146,154,148.1,169,7
Rashod Bateman,WR,BAL,147,155,144.3,158,
DeMario Douglas,WR,NE,148,156,162.7,183,11
Luther Burden III,WR,CHI,149,157,154.6,186,5
Tre Harris,WR,LAC,150,159,159.2,182,8
Michael Wilson,WR,ARI,151,163,167.7,159,
Brian Robinson Jr.,WR,SF,152,90,107.8,188,14
Justice Hill,RB,BAL,153,161,167.3,185,
MarShawn Lloyd,RB,GB,154,162,167.2,184,10
Jack Bech,WR,LV,155,164,168.0,190,8
Kyle Williams,WR,NE,156,193,,189,11
Zach Ertz,TE,WAS,157,167,150.5,167,12
Jonnu Smith,TE,PIT,158,206,152.6,187,8
Darren Waller,TE,MIA,159,165,165.5,191,5
Cade Otton,TE,TB,160,168,166.7,,5
Texans D/ST,DST,HOU,161,169,,149,7
Steelers D/ST,DST,PIT,162,170,,150,8
Broncos D/ST,DST,DEN,163,171,,151,7
Vikings D/ST,DST,MIN,164,172,,152,6
Seahawks D/ST,DST,SEA,165,173,163.0,153,5
Ravens D/ST,DST,BAL,166,174,,154,
Patriots D/ST,DST,NE,167,175,,161,11
Lions D/ST,DST,DET,168,176,,162,8
Eagles D/ST,DST,PHI,169,177,,163,9
Bills D/ST,DST,BUF,170,178,137.3,164,12
Colts D/ST,DST,IND,171,179,,165,14
Jets D/ST,DST,NYJ,172,180,,166,5
Jake Bates,K,DET,173,181,136.7,168,8
Chase McLaughlin,K,TB,174,182,149.4,171,5
Cameron Dicker,K,LAC,175,183,130.1,172,8
Brandon Aubrey,K,DAL,176,184,107.4,173,10
Jason Sanders,K,MIA,177,185,167.5,174,5
Tyler Bass,K,BUF,178,186,163.0,175,12
Jake Elliott,K,PHI,179,187,155.4,176,9
Chris Boswell,K,PIT,180,188,146.2,177,8
Harrison Butker,K,KC,181,189,149.2,178,10
Cairo Santos,K,CHI,182,190,,179,5
Tyler Loop,K,BAL,183,191,166.0,180,
Matt Gay,K,WAS,184,192,164.3,181,12
Romeo Doubs,WR,GB,185,194,162.8,,10
Tyler Lockett,WR,TEN,186,197,167.5,192,5
Roschon Johnson,RB,CHI,187,195,164.1,,5
Dylan Sampson,RB,CLE,188,196,147.8,,10
Nick Westbrook-Ikhine,WR,MIA,189,201,,,5
Trevor Lawrence,QB,JAC,190,198,145.2,,
Cameron Ward,QB,TEN,191,199,158.0,,5
Michael Penix Jr.,QB,ATL,192,200,158.1,,5
Joshua Palmer,WR,BUF,193,202,161.2,,12
Diontae Johnson,WR,CLE,194,203,169.0,,10
Brandin Cooks,WR,NO,195,204,,,12
Darius Slayton,WR,NYG,196,205,166.9,,11
Pat Freiermuth,TE,PIT,197,216,166.0,,8
Bryce Young,QB,CAR,198,218,161.4,,11
Geno Smith,QB,LV,199,219,161.8,,8
Sam Darnold,QB,SEA,200,267,164.5,,5
Kendre Miller,RB,NO,201,221,167.6,,12
Rico Dowdle,RB,CAR,202,222,159.1,,11
Miles Sanders,RB,DAL,203,225,165.7,,10
Amari Cooper,WR,FA,204,227,168.0,,
DJ Giddens,RB,IND,205,226,168.0,,14
Samaje Perine,RB,CIN,206,239,,,10
Ray-Ray McCloud III,WR,ATL,207,229,,,5
Pat Bryant,WR,DEN,208,209,166.7,,7
Quentin Johnston,WR,LAC,209,210,166.8,,8
Dont'e Thornton Jr.,WR,LV,210,211,167.6,,8
Adonai Mitchell,WR,IND,211,224,167.9,,14
Woody Marks,RB,HOU,212,212,165.6,,7
Kareem Hunt,RB,KC,213,213,161.6,,10
Blake Corum,RB,LAR,214,214,164.8,,6
Mason Taylor,TE,NYJ,215,215,164.4,,5
Elijah Arroyo,TE,SEA,216,217,166.9,,5
