PLAYER,PASSING_ATT,PASSING_ATT_HIGH,PASSING_ATT_LOW,PASSING_CMP,PASSING_CMP_HIGH,PASSING_CMP_LOW,PASSING_YDS,PASSING_YDS_HIGH,PASSING_YDS_LOW,PASSING_TDS,PASSING_TDS_HIGH,PASSING_TDS_LOW,PASSING_INTS,RUSHING_ATT,RUSHING_ATT_HIGH,RUSHING_ATT_LOW,RUSHING_YDS,RUSHING_YDS_HIGH,RUSHING_YDS_LOW,RUSHING_TDS,RUSHING_TDS_HIGH,RUSHING_TDS_LOW,MISC_FL,MISC_FPTS,MISC_FPTS_HIGH,MISC_FPTS_LOW,POSITION,SCRAPE_DATE,DATA_TYPE,RECEIVING_REC,RECEIVING_REC_HIGH,RECEIVING_REC_LOW,RECEIVING_YDS,RECEIVING_YDS_HIGH,RECEIVING_YDS_LOW,RECEIVING_TDS,RECEIVING_TDS_HIGH,RECEIVING_TDS_LOW,MISC_FL_HIGH,MISC_FL_LOW,FG,FG_HIGH,FG_LOW,FGA,FGA_HIGH,FGA_LOW,XPT,XPT_HIGH,XPT_LOW,FPTS,FPTS_HIGH,FPTS_LOW,FPTS_ENVELOPE_WIDTH,SACK,SACK_HIGH,SACK_LOW,INT,INT_HIGH,INT_LOW,FR,FR_HIGH,FR_LOW,FF,FF_HIGH,FF_LOW,TD,TD_HIGH,TD_LOW,SAFETY,SAFETY_HIGH,SAFETY_LOW,PA,PA_HIGH,PA_LOW,YDS_AGN
Matthew Stafford LAR,549.3,582.8,506.0,360.7,383.2,335.0,4052.1,4436.1,3798.0,26.0,28.5,24.0,,29.3,45.2,12.0,72.6,178.0,37.0,0.7,1.8,0.0,,262.0,292.5,241.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geno Smith LV,569.4,596.0,525.0,381.8,400.2,346.0,3976.9,4252.0,3724.0,21.8,24.0,20.5,,54.3,58.3,45.8,242.6,287.0,217.9,1.7,2.0,1.0,,261.6,307.4,241.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Ward TEN,519.3,561.8,479.0,331.1,351.0,302.0,3586.2,3864.2,3355.0,21.6,22.9,20.0,,74.1,91.2,64.0,330.2,431.7,264.0,2.4,3.3,1.0,,254.8,290.3,242.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold SEA,548.9,569.0,531.0,359.8,382.0,334.0,3823.4,4011.0,3456.0,22.9,26.2,20.0,,59.4,64.9,51.0,205.0,265.1,167.0,1.9,2.7,1.0,,254.4,311.5,218.9,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers PIT,542.7,562.4,519.0,348.1,370.0,332.0,3745.6,3877.1,3671.0,22.9,25.0,21.0,,22.4,30.7,0.0,80.4,113.0,0.0,0.4,1.2,0.0,,236.9,284.8,225.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Jones IND,444.1,524.9,383.0,277.6,337.2,241.0,2895.4,3547.0,2171.0,17.2,24.0,13.0,,92.1,114.0,73.6,408.6,545.0,318.0,3.4,5.0,2.0,,229.2,321.0,164.6,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Wilson NYG,422.1,546.2,265.3,269.9,343.9,167.8,2864.7,3836.1,1902.2,15.4,19.0,9.1,,51.1,76.1,30.3,215.9,380.6,119.1,1.9,3.0,1.0,,195.5,262.4,119.8,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough NO,424.9,545.5,356.0,265.0,347.9,213.0,2735.2,3622.1,2224.0,15.3,24.8,11.5,,47.0,50.0,40.1,204.1,229.0,173.5,1.5,2.0,1.0,,183.3,263.2,150.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Flacco CLE,409.1,591.5,233.0,257.4,386.5,147.0,2676.7,4400.4,1727.0,13.6,20.1,7.9,,14.7,20.9,2.0,42.6,68.6,2.0,0.4,1.0,0.0,,150.7,247.7,102.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Rattler NO,174.7,205.0,131.0,106.5,131.4,78.0,1277.9,1555.0,894.0,6.4,8.0,4.0,,21.8,25.0,19.0,133.3,173.0,113.0,0.4,1.0,0.0,,82.8,97.5,72.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Richardson Sr. IND,68.6,124.7,10.9,39.0,75.0,5.9,662.3,1380.0,75.1,3.6,7.0,0.5,,17.4,30.7,4.9,146.3,355.0,23.9,1.4,3.0,0.0,,58.4,126.7,7.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart NYG,123.6,292.9,28.0,77.6,183.8,18.0,850.1,1986.6,183.0,4.3,10.3,1.0,,14.8,39.5,2.0,71.3,182.4,9.0,0.7,1.7,0.0,,56.7,131.2,6.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Gabriel CLE,126.3,189.0,19.0,79.2,117.0,11.0,754.3,1282.0,111.0,3.7,6.0,1.0,,11.5,18.6,2.0,43.1,81.3,7.0,0.4,1.0,0.0,,47.8,100.5,6.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedeur Sanders CLE,101.4,139.1,31.0,61.8,86.3,19.0,620.3,937.0,187.0,3.0,5.0,1.0,,12.8,20.0,3.0,38.5,69.2,12.0,0.1,0.6,0.0,,37.9,72.4,6.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Milroe SEA,14.3,26.0,0.0,9.0,16.0,0.0,120.5,184.0,0.0,0.8,1.0,0.0,,23.7,55.0,0.0,105.5,274.0,0.0,1.0,2.0,0.0,,23.0,37.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Rudolph PIT,20.4,44.0,5.6,13.5,29.0,3.6,151.7,285.0,38.1,0.9,2.0,0.2,,18.8,65.0,0.3,67.7,293.4,1.1,0.5,2.4,0.0,,18.8,40.6,2.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Pickett CLE,12.5,25.0,0.0,7.5,15.0,0.0,270.0,662.0,0.0,1.3,3.0,0.0,,2.0,4.0,0.0,21.0,43.0,0.0,0.3,1.0,0.0,,18.2,40.8,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Garoppolo LAR,33.9,56.0,5.8,21.9,37.0,3.8,240.5,415.0,46.0,1.8,3.0,0.3,,1.4,4.0,0.0,3.6,8.0,0.0,,,,,16.5,23.0,2.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameis Winston NYG,29.0,65.0,0.0,18.3,41.0,0.0,263.5,458.0,0.0,1.5,3.0,0.0,,2.3,4.0,0.0,10.8,18.0,0.0,,,,,16.4,31.8,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis GB,23.4,45.0,5.1,14.7,29.0,3.2,179.9,344.0,36.6,1.1,2.0,0.2,,6.1,13.0,0.4,35.2,77.0,2.0,0.3,1.0,0.0,,16.2,38.9,2.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Mariota WAS,22.6,41.0,5.8,15.2,27.0,3.6,172.3,281.0,41.1,1.1,2.0,0.3,,4.5,8.0,0.4,22.3,38.0,2.2,,,,,13.1,25.9,2.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Jones SF,25.5,50.0,5.6,16.2,31.0,3.7,197.0,362.0,37.9,1.1,2.0,0.2,,2.4,5.0,0.2,9.4,22.0,0.7,,,,,12.2,26.9,2.1,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dobbs NE,24.5,47.0,5.4,15.8,30.0,3.4,178.1,335.0,33.4,1.1,2.0,0.2,,2.5,4.0,0.4,15.7,26.0,1.9,,,,,12.1,26.2,2.1,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrod Taylor NYJ,18.6,36.0,5.1,11.7,23.0,3.2,186.4,410.0,34.9,0.9,2.0,0.2,,4.9,15.0,0.0,23.0,68.0,0.0,,,,,11.9,24.1,2.1,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Wilson MIA,22.9,39.0,5.8,14.8,24.0,3.5,165.2,289.0,38.5,1.1,2.0,0.2,,3.4,5.0,0.3,12.2,25.0,1.7,,,,,11.8,23.5,2.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Browning CIN,16.1,26.0,6.2,11.0,18.0,4.0,150.1,211.0,44.2,1.1,2.0,0.3,,1.7,3.0,0.4,11.2,17.0,1.5,,,,,11.2,15.0,2.9,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan O'Connell LV,25.1,45.0,6.2,16.3,29.0,3.9,186.1,317.0,41.4,1.1,2.0,0.2,,2.0,4.0,0.1,6.1,14.0,0.4,,,,,11.0,24.5,2.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Howell MIN,14.5,23.0,6.0,8.9,14.0,3.8,140.5,210.0,40.6,1.1,2.0,0.3,,2.7,5.0,0.3,12.6,22.0,1.8,,,,,10.5,15.8,2.6,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacoby Brissett ARI,20.8,35.0,5.5,13.8,23.0,3.5,166.0,264.0,36.1,0.8,1.0,0.2,,2.4,5.0,0.3,11.9,25.0,1.5,,,,,10.5,18.3,2.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Minshew II KC,21.4,34.0,6.2,14.0,22.0,4.0,169.3,248.0,43.0,1.1,2.0,0.3,,2.4,4.0,0.3,9.7,17.0,0.8,,,,,10.1,21.2,2.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Milton III DAL,15.9,26.0,5.9,10.4,17.0,3.7,138.1,193.0,41.3,0.8,1.0,0.3,,2.2,4.0,0.3,15.7,28.0,1.1,,,,,9.7,12.5,2.6,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendon Hooker DET,13.2,21.0,5.5,9.2,15.0,3.4,141.6,207.0,36.9,0.7,1.0,0.2,,2.6,5.0,0.3,9.4,16.0,1.1,,,,,9.2,11.9,2.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Trubisky BUF,13.1,21.0,5.3,8.2,13.0,3.3,132.8,205.0,35.4,0.7,1.0,0.2,,2.6,5.0,0.3,10.5,23.0,0.5,,,,,9.0,11.0,2.1,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Stidham DEN,13.8,22.0,5.6,9.2,15.0,3.4,129.2,205.0,38.5,0.8,1.0,0.3,,2.2,4.0,0.4,10.2,19.0,1.5,,,,,8.8,11.2,2.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mullens JAC,14.0,22.0,6.0,9.0,14.0,3.9,142.1,224.0,45.3,0.7,1.0,0.2,,2.1,4.0,0.3,8.7,17.0,1.0,,,,,8.8,11.8,2.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Rush BAL,11.6,18.0,5.2,8.1,13.0,3.3,134.9,202.0,34.7,0.8,1.0,0.3,,3.1,6.0,0.2,13.4,32.0,0.2,,,,,8.7,10.9,2.3,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Mills HOU,14.0,22.0,6.0,8.4,13.0,3.8,128.4,199.0,40.1,0.7,1.0,0.2,,2.1,4.0,0.2,8.6,18.0,0.8,,,,,8.6,10.7,2.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Bagent CHI,11.5,23.0,0.0,7.0,14.0,0.0,114.7,197.0,0.0,0.7,1.0,0.0,,2.5,5.0,0.0,14.3,22.0,0.0,,,,,8.4,12.1,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner McKee PHI,11.1,17.0,5.1,7.1,11.0,3.2,124.8,209.0,35.4,0.7,1.0,0.2,,3.1,6.0,0.3,8.0,14.0,1.0,,,,,8.4,11.8,2.1,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Lock SEA,13.8,22.0,5.6,9.3,15.0,3.5,132.0,200.0,36.9,0.7,1.0,0.2,,2.2,4.0,0.3,8.5,16.0,1.6,,,,,8.3,10.8,2.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Dalton CAR,14.1,22.0,6.1,9.0,14.0,4.0,128.2,203.0,41.5,0.7,1.0,0.2,,2.1,4.0,0.3,8.6,17.0,0.9,,,,,8.2,10.9,2.3,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Allen TEN,12.8,20.0,5.7,8.2,13.0,3.4,123.4,195.0,35.2,0.7,1.0,0.2,,2.1,4.0,0.3,6.6,11.0,0.9,,,,,7.8,10.6,2.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Trask TB,10.3,15.0,5.7,6.2,9.0,3.5,108.1,203.0,37.3,0.8,1.0,0.3,,2.6,5.0,0.3,4.7,8.0,1.1,,,,,7.5,10.9,2.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
