name,pos,proj,high,low
Hunter Luepke,RB,4.8,9.2,3.8
DeeJay Dallas,RB,4.4,9.9,0.8
Trey Sermon,RB,3.9,11.0,0.0
Zonovan Knight,RB,3.6,9.4,0.0
Elijah Dotson,RB,3.5,9.0,0.0
Velus Jones Jr.,RB,3.4,8.4,0.0
Terrell Jennings,RB,3.3,8.5,0.0
Israel Abanikanda,RB,2.7,6.5,0.0
Jase McClellan,RB,2.4,6.8,0.0
Dylan Laube,RB,2.1,7.2,1.2
Robbie Ouzts,RB,1.9,2.0,0.0
Carlos Washington Jr.,RB,1.9,4.7,0.0
Scott Matlock,RB,1.8,1.9,0.9
Raheim Sanders,RB,1.8,5.6,0.0
Tyler Badie,RB,1.4,3.8,0.0
Phil Mafah,RB,1.4,3.8,0.0
Trayveon Williams,RB,1.4,3.7,0.0
George Holani,RB,1.2,3.4,0.0
D'Ernest Johnson,RB,1.2,3.4,0.0
Avery Williams,RB,1.0,6.6,0.2
Keilan Robinson,RB,0.9,3.8,0.0
Sione Vaki,RB,0.8,2.6,0.0
JaMycal Hasty,RB,0.8,2.5,0.0
Brock Bowers,TE,149.4,246.8,143.0
George Kittle,TE,146.8,207.0,136.5
Trey McBride,TE,139.5,245.4,134.0
Sam LaPorta,TE,116.1,178.2,16.8
Mark Andrews,TE,114.8,163.5,110.2
Travis Kelce,TE,106.2,165.2,102.3
T.J. Hockenson,TE,104.6,178.0,102.0
David Njoku,TE,101.7,159.5,97.0
Tyler Warren,TE,95.3,151.6,95.0
Tucker Kraft,TE,92.5,151.0,90.0
Kyle Pitts Sr.,TE,89.2,136.8,74.0
Dallas Goedert,TE,85.8,143.3,82.7
Zach Ertz,TE,83.8,123.9,83.1
Dalton Kincaid,TE,83.7,143.0,71.0
Evan Engram,TE,83.5,154.0,80.0
Jake Ferguson,TE,82.7,145.2,73.0
Hunter Henry,TE,79.8,131.5,0.0
Colston Loveland,TE,77.4,146.8,63.0
Isaiah Likely,TE,76.7,103.0,74.8
Cade Otton,TE,76.2,110.2,71.0
Brenton Strange,TE,73.8,121.0,73.5
Darren Waller,TE,73.3,117.5,72.4
Jonnu Smith,TE,73.3,129.3,70.3
Mike Gesicki,TE,70.0,126.5,57.0
Dalton Schultz,TE,68.9,104.6,0.5
Chig Okonkwo,TE,68.8,142.1,57.0
Juwan Johnson,TE,67.5,118.5,63.0
Pat Freiermuth,TE,66.2,115.7,66.0
Tyler Higbee,TE,64.3,92.0,61.5
Mason Taylor,TE,63.3,121.5,55.0
Theo Johnson,TE,63.2,109.0,62.0
Elijah Arroyo,TE,58.4,110.5,20.0
Will Dissly,TE,53.0,80.8,40.3
Noah Fant,TE,52.6,70.5,48.6
Ja'Tavion Sanders,TE,51.1,112.2,37.7
Noah Gray,TE,46.7,84.5,39.0
Tyler Conklin,TE,46.2,84.8,23.5
AJ Barner,TE,44.8,75.1,36.0
Cole Kmet,TE,41.9,70.2,23.5
Foster Moreau,TE,36.1,57.0,29.5
Austin Hooper,TE,35.7,53.5,27.1
Dawson Knox,TE,35.3,60.6,16.0
Oronde Gadsden II,TE,34.8,60.2,33.7
Michael Mayer,TE,34.6,69.5,22.0
Harold Fannin Jr.,TE,34.2,80.5,17.0
Terrance Ferguson,TE,34.1,56.6,26.0
Josh Oliver,TE,30.0,47.0,23.4
Tommy Tremble,TE,27.7,33.0,23.5
Luke Musgrave,TE,27.1,41.7,19.7
Brock Wright,TE,26.4,39.0,5.8
Gunnar Helm,TE,26.1,45.0,17.0
Ben Sinnott,TE,24.9,54.9,10.0
Cade Stover,TE,23.3,59.6,10.0
Jeremy Ruckert,TE,22.3,41.9,9.1
Adam Trautman,TE,21.8,31.9,18.0
Charlie Woerner,TE,20.3,45.0,12.1
Luke Schoonmaker,TE,20.2,35.0,13.0
Jelani Woods,TE,19.7,31.0,0.0
Grant Calcaterra,TE,19.0,26.7,11.4
Daniel Bellinger,TE,18.9,36.2,8.5
Payne Durham,TE,18.3,36.8,7.3
Julian Hill,TE,18.2,31.5,14.0
Elijah Higgins,TE,17.4,36.5,7.7
Josh Whyle,TE,16.9,27.1,10.3
Darnell Washington,TE,16.6,32.2,7.8
Johnny Mundt,TE,16.5,28.6,12.0
Connor Heyward,TE,15.7,30.0,2.5
Colby Parkinson,TE,15.7,26.0,8.9
Drew Ogletree,TE,14.7,39.0,2.5
Taysom Hill,TE,13.2,50.0,0.0
Drew Sample,TE,12.8,26.2,8.2
Pharaoh Brown,TE,12.1,36.2,5.4
Nate Adkins,TE,12.0,14.0,2.9
Teagan Quitoriano,TE,11.9,16.0,0.0
Lawrence Cager,TE,11.7,16.0,0.0
Gavin Bartholomew,TE,11.0,11.0,0.9
Brevyn Spann-Ford,TE,10.7,25.5,3.9
Lucas Krull,TE,10.3,24.8,2.7
Quintin Morris,TE,10.3,33.0,0.0
Devin Culp,TE,10.1,21.7,0.0
Charlie Kolar,TE,9.9,12.0,5.4
Tanner McLachlan,TE,9.9,12.0,0.0
Hunter Long,TE,9.8,19.0,2.5
Giovanni Ricci,TE,9.6,12.0,0.0
Brenden Bates,TE,9.4,10.0,2.5
Jaheim Bell,TE,9.4,26.0,2.6
John Bates,TE,9.3,21.4,5.3
Tanner Conner,TE,9.3,10.0,3.0
Blake Whiteheart,TE,9.2,10.0,2.5
Kenny Yeboah,TE,9.0,24.1,0.0
Luke Farrell,TE,9.0,12.0,5.2
Eric Saubert,TE,8.7,14.0,5.2
Luke Lachey,TE,8.6,10.0,0.0
Travis Vokolek,TE,8.5,10.0,0.0
Brayden Willis,TE,8.4,10.0,0.0
Ian Thomas,TE,8.2,13.3,5.2
Mitchell Evans,TE,8.2,12.0,2.6
Stone Smartt,TE,8.2,11.0,2.1
Cam Grandy,TE,8.1,11.0,0.0
Moliki Matavao,TE,8.1,10.0,0.0
Jackson Hawes,TE,8.0,10.0,2.7
Jared Wiley,TE,7.6,11.0,3.0
Greg Dulcich,TE,7.3,13.1,0.0
Durham Smythe,TE,6.7,10.0,4.4
Robert Tonyan,TE,6.3,10.0,0.0
Will Mallory,TE,5.2,10.0,0.0
Mo Alie-Cox,TE,5.2,8.8,4.2
Davis Allen,TE,5.1,14.5,2.9
Tip Reiman,TE,5.0,9.9,0.1
Irv Smith Jr.,TE,5.0,13.7,0.0
Dominique Dafney,TE,4.6,12.7,0.0
Kylen Granson,TE,4.3,12.9,2.1
Tucker Fisk,TE,4.1,7.9,2.7
Tanner Hudson,TE,3.6,8.6,2.7
Erick All Jr.,TE,3.1,8.6,0.0
Zach Davidson,TE,2.9,7.8,0.0
Jack Stoll,TE,2.6,6.0,2.3
David Martin-Robinson,TE,2.6,2.6,0.6
Feleipe Franks,TE,2.5,2.5,0.5
James Mitchell,TE,2.3,6.4,0.0
Chris Manhertz,TE,2.2,3.9,0.5
Nick Vannett,TE,1.0,4.0,0.0
Harrison Bryant,TE,0.6,2.1,0.0
Ja'Marr Chase,WR,232.2,328.3,221.9
Justin Jefferson,WR,202.5,298.3,186.9
CeeDee Lamb,WR,192.2,300.5,172.7
Puka Nacua,WR,186.2,274.2,172.8
Malik Nabers,WR,183.9,274.5,168.3
Nico Collins,WR,183.5,274.1,174.5
Brian Thomas Jr.,WR,182.7,274.3,162.9
Amon-Ra St. Brown,WR,178.9,273.7,173.4
A.J. Brown,WR,172.7,253.0,160.3
Drake London,WR,171.5,268.6,159.7
Tyreek Hill,WR,168.3,268.6,155.0
Mike Evans,WR,165.8,229.3,155.0
Ladd McConkey,WR,163.9,240.1,157.5
Tee Higgins,WR,161.7,233.7,136.9
Davante Adams,WR,159.1,232.0,141.6
Terry McLaurin,WR,158.9,231.7,150.8
DK Metcalf,WR,154.9,234.7,150.8
Marvin Harrison Jr.,WR,153.0,232.8,137.8
Jaxon Smith-Njigba,WR,150.8,220.0,144.0
Xavier Worthy,WR,147.8,207.2,135.0
Zay Flowers,WR,145.8,196.2,133.0
Courtland Sutton,WR,144.4,215.3,132.0
DJ Moore,WR,143.7,216.5,45.0
Jameson Williams,WR,143.2,208.0,135.0
Garrett Wilson,WR,143.0,231.0,127.0
Calvin Ridley,WR,141.7,209.1,127.0
George Pickens,WR,138.7,213.9,132.0
DeVonta Smith,WR,137.6,211.0,134.7
Jerry Jeudy,WR,133.9,206.8,124.0
Deebo Samuel Sr.,WR,131.2,193.5,118.0
Tetairoa McMillan,WR,129.3,217.0,112.0
Jakobi Meyers,WR,128.3,199.7,126.0
Jaylen Waddle,WR,126.6,207.3,109.0
Matthew Golden,WR,124.3,197.3,110.0
Jauan Jennings,WR,121.8,174.5,108.0
Travis Hunter,WR,121.5,195.7,107.5
Rome Odunze,WR,119.8,192.1,104.0
Chris Olave,WR,118.5,205.2,94.0
Keon Coleman,WR,118.5,156.5,108.0
Jayden Reed,WR,118.0,169.3,109.6
Rashid Shaheed,WR,117.7,173.4,102.0
Rashee Rice,WR,117.4,204.7,115.5
Stefon Diggs,WR,117.2,183.6,105.0
Ricky Pearsall,WR,116.1,177.5,16.2
Jordan Addison,WR,115.9,177.7,114.0
Michael Pittman Jr.,WR,112.5,169.0,109.5
Cooper Kupp,WR,112.4,163.4,105.0
Chris Godwin,WR,111.4,132.2,109.0
Emeka Egbuka,WR,110.4,181.4,110.1
Khalil Shakir,WR,110.0,172.6,99.0
Darnell Mooney,WR,109.4,147.8,103.0
Marvin Mims Jr.,WR,106.8,162.9,86.0
Josh Downs,WR,103.7,164.6,102.7
Rashod Bateman,WR,101.8,141.9,90.3
Marquise Brown,WR,94.9,146.0,73.0
Cedric Tillman,WR,92.4,142.8,78.0
Keenan Allen,WR,91.8,125.2,7.0
Adam Thielen,WR,91.0,140.5,4.9
Jayden Higgins,WR,89.6,163.3,72.0
Christian Kirk,WR,89.1,127.2,87.2
Xavier Legette,WR,86.9,123.9,81.0
Romeo Doubs,WR,82.2,114.0,81.0
Wan'Dale Robinson,WR,81.9,139.9,3.2
Joshua Palmer,WR,79.9,147.6,69.8
Brandon Aiyuk,WR,79.7,129.0,75.4
DeMario Douglas,WR,79.0,140.3,9.0
Tyler Lockett,WR,78.4,154.2,65.0
Luther Burden III,WR,78.1,135.7,65.1
Michael Wilson,WR,76.4,122.7,69.3
Alec Pierce,WR,74.6,109.0,46.5
Tre' Harris,WR,73.9,135.6,57.0
Calvin Austin III,WR,73.7,101.0,56.8
Quentin Johnston,WR,70.7,106.0,61.7
Ray-Ray McCloud III,WR,67.9,107.2,64.0
Jack Bech,WR,67.6,91.5,62.2
Dyami Brown,WR,67.0,130.6,45.0
Darius Slayton,WR,66.3,117.5,56.0
Josh Reynolds,WR,65.5,91.4,0.0
Tutu Atwell,WR,65.2,90.8,62.0
Nick Westbrook-Ikhine,WR,64.7,87.8,59.0
DeAndre Hopkins,WR,64.6,87.3,57.0
Kyle Williams,WR,62.1,101.4,45.0
