pick,window,pos,name,rel_baseline,survival,proj_pts,low,high,floor_rel_baseline,ceiling_rel_baseline
52,Pick 61,RB,Zach Charbonnet,0.5963413298280206,1.0,,,,,
52,Pick 61,RB,Quinshon Judkins,0.5941505093657574,0.9932,,,,,
52,Pick 61,RB,Najee Harris,0.5799101763610471,1.0,,,,,
52,Pick 80,RB,Travis Etienne Jr.,0.6200569613320188,0.979,,,,,
52,Pick 80,RB,Austin Ekeler,0.6111841384598532,0.959,,,,,
52,Pick 80,RB,Zach Charbonnet,0.5963413298280206,1.0,,,,,
52,Pick 80,RB,Quinshon Judkins,0.5941505093657574,0.8564,,,,,
52,Pick 80,RB,Najee Harris,0.5799101763610471,1.0,,,,,
52,Pick 52,WR,Calvin Ridley,0.9157372187479852,0.6922,,,,,
52,Pick 52,WR,Jerry Jeudy,0.8513313132615563,0.8356,,,,,
52,Pick 52,WR,Jaylen Waddle,0.8193540068338598,0.7902,,,,,
52,Pick 52,WR,Tetairoa McMillan,0.7869254077751273,0.832,,,,,
52,Pick 52,WR,Travis Hunter,0.7808651924440719,0.8492,,,,,
52,Pick 61,WR,Jerry Jeudy,0.8513313132615563,0.7354,,,,,
52,Pick 61,WR,Jaylen Waddle,0.8193540068338598,0.6574,,,,,
52,Pick 61,WR,Tetairoa McMillan,0.7869254077751273,0.728,,,,,
52,Pick 61,WR,Travis Hunter,0.7808651924440719,0.7576,,,,,
52,Pick 61,WR,Rome Odunze,0.770034169299207,0.6786,,,,,
52,Pick 80,WR,Chris Godwin,0.7692605247888594,0.574,,,,,
52,Pick 80,WR,Ricky Pearsall,0.7628779575784926,0.8864,,,,,
52,Pick 80,WR,Keon Coleman,0.7622977241957319,0.8792,,,,,
52,Pick 80,WR,Chris Olave,0.7586229127715814,0.6566,,,,,
52,Pick 80,WR,Stefon Diggs,0.7513377602991426,0.8834,,,,,
52,Pick 52,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
52,Pick 52,QB,Bryce Young,0.8126887236598591,1.0,,,,,
52,Pick 52,QB,Michael Penix Jr.,0.8122016948602228,1.0,,,,,
52,Pick 52,QB,Geno Smith,0.8062274749180168,1.0,,,,,
52,Pick 52,QB,Sam Darnold,0.7879151920516899,1.0,,,,,
52,Pick 61,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
52,Pick 61,QB,Bryce Young,0.8126887236598591,1.0,,,,,
52,Pick 61,QB,Michael Penix Jr.,0.8122016948602228,1.0,,,,,
52,Pick 61,QB,Geno Smith,0.8062274749180168,1.0,,,,,
52,Pick 61,QB,Sam Darnold,0.7879151920516899,1.0,,,,,
52,Pick 80,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
52,Pick 80,QB,Bryce Young,0.8126887236598591,1.0,,,,,
52,Pick 80,QB,Michael Penix Jr.,0.8122016948602228,1.0,,,,,
52,Pick 80,QB,Geno Smith,0.8062274749180168,1.0,,,,,
52,Pick 80,QB,Sam Darnold,0.7879151920516899,1.0,,,,,
52,Pick 52,TE,Jonnu Smith,0.653452685421995,1.0,,,,,
52,Pick 52,TE,Colston Loveland,0.6531116794543904,1.0,,,,,
52,Pick 52,TE,Cade Otton,0.6498721227621483,1.0,,,,,
52,Pick 52,TE,Brenton Strange,0.6281329923273659,1.0,,,,,
52,Pick 52,TE,Mike Gesicki,0.6191815856777494,1.0,,,,,
52,Pick 61,TE,Jonnu Smith,0.653452685421995,1.0,,,,,
52,Pick 61,TE,Colston Loveland,0.6531116794543904,1.0,,,,,
52,Pick 61,TE,Cade Otton,0.6498721227621483,1.0,,,,,
52,Pick 61,TE,Brenton Strange,0.6281329923273659,1.0,,,,,
52,Pick 61,TE,Mike Gesicki,0.6191815856777494,1.0,,,,,
52,Pick 80,TE,Jonnu Smith,0.653452685421995,1.0,,,,,
52,Pick 80,TE,Colston Loveland,0.6531116794543904,1.0,,,,,
52,Pick 80,TE,Cade Otton,0.6498721227621483,1.0,,,,,
52,Pick 80,TE,Brenton Strange,0.6281329923273659,1.0,,,,,
52,Pick 80,TE,Mike Gesicki,0.6191815856777494,1.0,,,,,
61,Pick 61,RB,Isiah Pacheco,0.8783348526283804,0.7854,,,,,
61,Pick 61,RB,Quinshon Judkins,0.6592525068368277,0.9932,,,,,
61,Pick 61,RB,Najee Harris,0.6434518383470069,1.0,,,,,
61,Pick 61,RB,Tyjae Spears,0.6162868429048921,1.0,,,,,
61,Pick 61,RB,Rachaad White,0.6158614402917046,1.0,,,,,
61,Pick 80,RB,Quinshon Judkins,0.6592525068368277,0.8564,,,,,
61,Pick 80,RB,Najee Harris,0.6434518383470069,1.0,,,,,
61,Pick 80,RB,Tyjae Spears,0.6162868429048921,0.9712,,,,,
61,Pick 80,RB,Rachaad White,0.6158614402917046,1.0,,,,,
61,Pick 80,RB,Cam Skattebo,0.6030385900941962,0.9534,,,,,
61,Pick 89,RB,Quinshon Judkins,0.6592525068368277,0.7774,,,,,
61,Pick 89,RB,Najee Harris,0.6434518383470069,1.0,,,,,
61,Pick 89,RB,Tyjae Spears,0.6162868429048921,0.927,,,,,
61,Pick 89,RB,Rachaad White,0.6158614402917046,0.9906,,,,,
61,Pick 89,RB,Cam Skattebo,0.6030385900941962,0.9042,,,,,
61,Pick 61,WR,Jerry Jeudy,0.9154246100519932,0.7354,,,,,
61,Pick 61,WR,Jaylen Waddle,0.8810398613518198,0.6574,,,,,
61,Pick 61,WR,Tetairoa McMillan,0.8461698440207972,0.728,,,,,
61,Pick 61,WR,Travis Hunter,0.8396533795493935,0.7576,,,,,
61,Pick 61,WR,Rome Odunze,0.8280069324090121,0.6786,,,,,
61,Pick 80,WR,Chris Godwin,0.8271750433275563,0.574,,,,,
61,Pick 80,WR,Chris Olave,0.8157365684575391,0.6566,,,,,
61,Pick 80,WR,Cooper Kupp,0.7898786828422877,0.6216,,,,,
61,Pick 80,WR,Darnell Mooney,0.766100519930676,0.912,,,,,
61,Pick 80,WR,Khalil Shakir,0.7609012131715771,0.9018,,,,,
61,Pick 89,WR,Darnell Mooney,0.766100519930676,0.869,,,,,
61,Pick 89,WR,Khalil Shakir,0.7609012131715771,0.8394,,,,,
61,Pick 89,WR,Michael Pittman Jr.,0.7461351819757366,0.8376,,,,,
61,Pick 89,WR,Marvin Mims Jr.,0.7376083188908146,1.0,,,,,
61,Pick 89,WR,Rashod Bateman,0.7072443674176776,1.0,,,,,
61,Pick 61,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
61,Pick 61,QB,Bryce Young,0.8126887236598591,1.0,,,,,
61,Pick 61,QB,Michael Penix Jr.,0.8122016948602228,1.0,,,,,
61,Pick 61,QB,Geno Smith,0.8062274749180168,1.0,,,,,
61,Pick 61,QB,Sam Darnold,0.7879151920516899,1.0,,,,,
61,Pick 80,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
61,Pick 80,QB,Bryce Young,0.8126887236598591,1.0,,,,,
61,Pick 80,QB,Michael Penix Jr.,0.8122016948602228,1.0,,,,,
61,Pick 80,QB,Geno Smith,0.8062274749180168,1.0,,,,,
61,Pick 80,QB,Sam Darnold,0.7879151920516899,1.0,,,,,
61,Pick 89,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
61,Pick 89,QB,Bryce Young,0.8126887236598591,1.0,,,,,
61,Pick 89,QB,Michael Penix Jr.,0.8122016948602228,1.0,,,,,
61,Pick 89,QB,Geno Smith,0.8062274749180168,1.0,,,,,
61,Pick 89,QB,Sam Darnold,0.7879151920516899,1.0,,,,,
61,Pick 61,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
61,Pick 61,TE,Colston Loveland,0.5150252100840336,1.0,,,,,
61,Pick 61,TE,Cade Otton,0.5124705882352941,1.0,,,,,
61,Pick 61,TE,Brenton Strange,0.495327731092437,1.0,,,,,
61,Pick 61,TE,Mike Gesicki,0.48826890756302516,1.0,,,,,
61,Pick 80,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
61,Pick 80,TE,Colston Loveland,0.5150252100840336,1.0,,,,,
61,Pick 80,TE,Cade Otton,0.5124705882352941,1.0,,,,,
61,Pick 80,TE,Brenton Strange,0.495327731092437,1.0,,,,,
61,Pick 80,TE,Mike Gesicki,0.48826890756302516,1.0,,,,,
61,Pick 89,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
61,Pick 89,TE,Colston Loveland,0.5150252100840336,0.9684,,,,,
61,Pick 89,TE,Cade Otton,0.5124705882352941,1.0,,,,,
61,Pick 89,TE,Brenton Strange,0.495327731092437,1.0,,,,,
61,Pick 89,TE,Mike Gesicki,0.48826890756302516,1.0,,,,,
80,Pick 80,RB,Travis Etienne Jr.,0.7115203318458927,0.979,,,,,
80,Pick 80,RB,Austin Ekeler,0.7013386964992772,0.959,,,,,
80,Pick 80,RB,Zach Charbonnet,0.6843064546540129,1.0,,,,,
80,Pick 80,RB,Quinshon Judkins,0.6817924706178116,0.8564,,,,,
80,Pick 80,RB,Najee Harris,0.6654515743825026,1.0,,,,,
80,Pick 89,RB,Travis Etienne Jr.,0.7115203318458927,0.9398,,,,,
80,Pick 89,RB,Austin Ekeler,0.7013386964992772,0.9098,,,,,
80,Pick 89,RB,Zach Charbonnet,0.6843064546540129,0.9942,,,,,
80,Pick 89,RB,Quinshon Judkins,0.6817924706178116,0.7774,,,,,
80,Pick 89,RB,Najee Harris,0.6654515743825026,1.0,,,,,
80,Pick 80,WR,Chris Godwin,0.5817366291258348,0.574,,,,,
80,Pick 80,WR,Chris Olave,0.5736921651796597,0.6566,,,,,
80,Pick 80,WR,Cooper Kupp,0.555506801228609,0.6216,,,,,
80,Pick 80,WR,Darnell Mooney,0.5387840670859538,0.912,,,,,
80,Pick 80,WR,Khalil Shakir,0.5351274925649652,0.9018,,,,,
80,Pick 89,WR,Darnell Mooney,0.5387840670859538,0.869,,,,,
80,Pick 89,WR,Khalil Shakir,0.5351274925649652,0.8394,,,,,
80,Pick 89,WR,Michael Pittman Jr.,0.5247428209253571,0.8376,,,,,
80,Pick 89,WR,Marvin Mims Jr.,0.5187460387109356,1.0,,,,,
80,Pick 89,WR,Rashod Bateman,0.4973916435083613,1.0,,,,,
80,Pick 80,QB,Jordan Love,0.8641514334881002,0.9902,,,,,
80,Pick 80,QB,Trevor Lawrence,0.8481444202733855,1.0,,,,,
80,Pick 80,QB,Drake Maye,0.8480145459268158,0.9864,,,,,
80,Pick 80,QB,Matthew Stafford,0.8298970745803435,1.0,,,,,
80,Pick 80,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
80,Pick 89,QB,Jordan Love,0.8641514334881002,0.9534,,,,,
80,Pick 89,QB,Trevor Lawrence,0.8481444202733855,1.0,,,,,
80,Pick 89,QB,Drake Maye,0.8480145459268158,0.9468,,,,,
80,Pick 89,QB,Matthew Stafford,0.8298970745803435,1.0,,,,,
80,Pick 89,QB,Tua Tagovailoa,0.8142796844053378,1.0,,,,,
80,Pick 80,TE,Darren Waller,0.5253109243697479,1.0,,,,,
80,Pick 80,TE,Hunter Henry,0.5246386554621849,1.0,,,,,
80,Pick 80,TE,Isaiah Likely,0.5173109243697479,1.0,,,,,
80,Pick 80,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
80,Pick 80,TE,Colston Loveland,0.5150252100840336,1.0,,,,,
80,Pick 89,TE,Darren Waller,0.5253109243697479,1.0,,,,,
80,Pick 89,TE,Hunter Henry,0.5246386554621849,1.0,,,,,
80,Pick 89,TE,Isaiah Likely,0.5173109243697479,1.0,,,,,
80,Pick 89,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
80,Pick 89,TE,Colston Loveland,0.5150252100840336,0.9684,,,,,
89,Pick 89,RB,J.K. Dobbins,0.45816456428654084,0.7936,,,,,
89,Pick 89,RB,Javonte Williams,0.45334259152104306,0.7998,,,,,
89,Pick 89,RB,Jordan Mason,0.4530725610461752,0.9154,,,,,
89,Pick 89,RB,Rhamondre Stevenson,0.43899240057092154,0.7868,,,,,
89,Pick 89,RB,Travis Etienne Jr.,0.43671642942560657,0.9398,,,,,
89,Pick 89,WR,Stefon Diggs,0.5681829262347033,0.8072,,,,,
89,Pick 89,WR,Rashid Shaheed,0.5531178392082297,0.8828,,,,,
89,Pick 89,WR,Jordan Addison,0.5476086002632733,0.5112,,,,,
89,Pick 89,WR,Darnell Mooney,0.5387840670859538,0.869,,,,,
89,Pick 89,WR,Khalil Shakir,0.5351274925649652,0.8394,,,,,
89,Pick 89,QB,Dak Prescott,0.907074905029384,0.8546,,,,,
89,Pick 89,QB,Jared Goff,0.9070099678560992,0.9576,,,,,
89,Pick 89,QB,J.J. McCarthy,0.899639598688269,0.96,,,,,
89,Pick 89,QB,Caleb Williams,0.8990226955420629,0.8568,,,,,
89,Pick 89,QB,C.J. Stroud,0.8734374492678333,1.0,,,,,
89,Pick 89,TE,Dallas Goedert,0.5764033613445377,0.9818,,,,,
89,Pick 89,TE,Zach Ertz,0.5670588235294117,1.0,,,,,
89,Pick 89,TE,Evan Engram,0.5621512605042017,0.8998,,,,,
89,Pick 89,TE,Dalton Kincaid,0.5601344537815126,0.987,,,,,
89,Pick 89,TE,Jake Ferguson,0.5554285714285715,1.0,,,,,
