simulation,pick_number,player_name,position,espn_rank
3,31,Mike Evans,WR,35
3,32,George Kittle,TE,40
3,34,Kenneth Walker III,RB,38
3,35,Xavier Worthy,WR,46
3,36,Jayden Daniels,QB,30
3,37,Brian Thomas Jr.,WR,14
3,38,Josh Jacobs,RB,19
3,39,DK Metcalf,WR,49
3,40,Terry McLaurin,WR,34
3,41,D'Andre Swift,RB,52
3,42,Chase Brown,RB,32
3,43,Garrett Wilson,WR,48
3,44,Josh Allen,QB,28
3,45,Jameson Williams,WR,56
3,46,Breece Hall,RB,45
3,47,Joe Burrow,QB,39
3,48,James Conner,RB,43
3,49,Rashee Rice,WR,55
3,50,Ladd McConkey,WR,27
3,51,TreVeyon Henderson,RB,44
3,53,Chuba Hubbard,RB,41
3,54,DJ Moore,WR,54
3,55,Marvin Harrison Jr.,WR,47
3,56,Patrick Mahomes,QB,62
3,57,Sam LaPorta,TE,61
3,58,Jaxon Smith-Njigba,WR,36
3,59,Omarion Hampton,RB,37
3,60,Courtland Sutton,WR,53
3,62,DeVonta Smith,WR,57
3,63,Calvin Ridley,WR,51
3,64,Zay Flowers,WR,50
3,65,Tony Pollard,RB,68
3,66,Tetairoa McMillan,WR,64
3,67,Jaylen Waddle,WR,59
3,68,Baker Mayfield,QB,63
3,69,Rome Odunze,WR,60
3,70,George Pickens,WR,58
3,71,Jerry Jeudy,WR,65
3,72,Jakobi Meyers,WR,76
3,73,Travis Hunter,WR,66
3,74,David Montgomery,RB,67
3,75,T.J. Hockenson,TE,69
3,76,RJ Harvey,RB,72
3,77,Cooper Kupp,WR,75
3,78,Jordan Addison,WR,78
3,79,Chris Olave,WR,77
3,81,Matthew Golden,WR,74
3,82,Isiah Pacheco,RB,70
3,83,Travis Kelce,TE,84
3,84,Tucker Kraft,TE,86
3,85,Chris Godwin,WR,73
3,86,Aaron Jones,RB,71
3,87,Kyler Murray,QB,88
3,88,Deebo Samuel Sr.,WR,79
4,1,Derrick Henry,RB,11
4,2,Bijan Robinson,RB,2
4,3,Ja'Marr Chase,WR,1
4,4,Amon-Ra St. Brown,WR,10
4,6,Drake London,WR,16
4,7,De'Von Achane,RB,18
4,8,Christian McCaffrey,RB,7
4,9,CeeDee Lamb,WR,6
4,10,Saquon Barkley,RB,4
4,11,Nico Collins,WR,13
4,12,Malik Nabers,WR,9
4,13,Justin Jefferson,WR,3
4,14,Puka Nacua,WR,8
4,15,Ashton Jeanty,RB,12
4,16,Brock Bowers,TE,20
4,17,Jahmyr Gibbs,RB,5
4,18,Josh Allen,QB,28
4,19,A.J. Brown,WR,15
4,20,Tee Higgins,WR,24
4,21,Josh Jacobs,RB,19
4,22,James Cook,RB,33
4,23,Kyren Williams,RB,22
4,25,Brian Thomas Jr.,WR,14
4,26,Davante Adams,WR,26
4,27,Jonathan Taylor,RB,17
4,28,Chase Brown,RB,32
4,29,Trey McBride,TE,21
4,30,Bucky Irving,RB,23
4,31,Tyreek Hill,WR,25
4,32,Lamar Jackson,QB,29
4,34,Alvin Kamara,RB,42
4,35,Terry McLaurin,WR,34
4,36,George Kittle,TE,40
4,37,Jalen Hurts,QB,31
4,38,Ladd McConkey,WR,27
4,39,Mike Evans,WR,35
4,40,Jaxon Smith-Njigba,WR,36
4,41,Jayden Daniels,QB,30
4,42,Kenneth Walker III,RB,38
4,43,Chuba Hubbard,RB,41
4,44,Joe Burrow,QB,39
4,45,DK Metcalf,WR,49
4,46,Omarion Hampton,RB,37
4,47,D'Andre Swift,RB,52
4,48,Breece Hall,RB,45
4,49,TreVeyon Henderson,RB,44
4,50,Xavier Worthy,WR,46
4,51,Marvin Harrison Jr.,WR,47
4,53,James Conner,RB,43
4,54,Garrett Wilson,WR,48
4,55,Calvin Ridley,WR,51
4,56,Zay Flowers,WR,50
4,57,Courtland Sutton,WR,53
4,58,Sam LaPorta,TE,61
4,59,Patrick Mahomes,QB,62
4,60,T.J. Hockenson,TE,69
4,62,Tetairoa McMillan,WR,64
4,63,Travis Hunter,WR,66
4,64,Rome Odunze,WR,60
4,65,DeVonta Smith,WR,57
4,66,Jameson Williams,WR,56
4,67,Cooper Kupp,WR,75
4,68,Jerry Jeudy,WR,65
4,69,DJ Moore,WR,54
4,70,George Pickens,WR,58
4,71,Baker Mayfield,QB,63
4,72,Isiah Pacheco,RB,70
4,73,RJ Harvey,RB,72
4,74,Tony Pollard,RB,68
4,75,Rashee Rice,WR,55
4,76,Chris Godwin,WR,73
4,77,Jordan Addison,WR,78
4,78,Jaylen Waddle,WR,59
4,79,Mark Andrews,TE,83
4,81,Matthew Golden,WR,74
4,82,Tucker Kraft,TE,86
4,83,David Montgomery,RB,67
4,84,David Njoku,TE,85
4,85,Aaron Jones,RB,71
4,86,Bo Nix,QB,87
4,87,Kaleb Johnson,RB,80
4,88,Joe Mixon,RB,82
5,1,Ja'Marr Chase,WR,1
5,2,Justin Jefferson,WR,3
5,3,Ashton Jeanty,RB,12
5,4,Bijan Robinson,RB,2
5,6,Saquon Barkley,RB,4
5,7,Jonathan Taylor,RB,17
5,8,CeeDee Lamb,WR,6
5,9,Jahmyr Gibbs,RB,5
5,10,Puka Nacua,WR,8
5,11,Brian Thomas Jr.,WR,14
5,12,De'Von Achane,RB,18
5,13,Brock Bowers,TE,20
5,14,Malik Nabers,WR,9
5,15,Josh Allen,QB,28
5,16,Derrick Henry,RB,11
5,17,Trey McBride,TE,21
5,18,Tyreek Hill,WR,25
5,19,Nico Collins,WR,13
5,20,Christian McCaffrey,RB,7
5,21,Lamar Jackson,QB,29
5,22,Jalen Hurts,QB,31
5,23,Jayden Daniels,QB,30
5,25,Tee Higgins,WR,24
5,26,Kyren Williams,RB,22
5,27,Josh Jacobs,RB,19
5,28,Terry McLaurin,WR,34
5,29,Bucky Irving,RB,23
5,30,Davante Adams,WR,26
5,31,Jaxon Smith-Njigba,WR,36
5,32,Ladd McConkey,WR,27
5,34,Chase Brown,RB,32
5,35,Omarion Hampton,RB,37
5,36,Kenneth Walker III,RB,38
5,37,Drake London,WR,16
5,38,Joe Burrow,QB,39
5,39,James Cook,RB,33
5,40,Amon-Ra St. Brown,WR,10
5,41,A.J. Brown,WR,15
5,42,Chuba Hubbard,RB,41
5,43,Garrett Wilson,WR,48
5,44,TreVeyon Henderson,RB,44
5,45,Breece Hall,RB,45
5,46,Mike Evans,WR,35
5,47,Marvin Harrison Jr.,WR,47
5,48,Alvin Kamara,RB,42
5,49,George Kittle,TE,40
5,50,Xavier Worthy,WR,46
5,51,DK Metcalf,WR,49
5,53,Rashee Rice,WR,55
5,54,DeVonta Smith,WR,57
5,55,James Conner,RB,43
5,56,Baker Mayfield,QB,63
5,57,D'Andre Swift,RB,52
5,58,Calvin Ridley,WR,51
5,59,Tony Pollard,RB,68
5,60,Sam LaPorta,TE,61
5,62,Courtland Sutton,WR,53
5,63,Jaylen Waddle,WR,59
5,64,RJ Harvey,RB,72
5,65,Zay Flowers,WR,50
5,66,Isiah Pacheco,RB,70
5,67,Patrick Mahomes,QB,62
5,68,Travis Hunter,WR,66
5,69,Jakobi Meyers,WR,76
5,70,Chris Godwin,WR,73
5,71,Jameson Williams,WR,56
5,72,David Montgomery,RB,67
5,73,Tetairoa McMillan,WR,64
5,74,Jordan Addison,WR,78
5,75,T.J. Hockenson,TE,69
5,76,George Pickens,WR,58
5,77,Cooper Kupp,WR,75
5,78,Joe Mixon,RB,82
5,79,Aaron Jones,RB,71
5,81,Kaleb Johnson,RB,80
5,82,Chris Olave,WR,77
5,83,DJ Moore,WR,54
5,84,Brian Robinson Jr.,RB,90
5,85,Rome Odunze,WR,60
5,86,Jerry Jeudy,WR,65
5,87,Tyrone Tracy Jr.,RB,81
5,88,Matthew Golden,WR,74
6,1,A.J. Brown,WR,15
6,2,Bijan Robinson,RB,2
6,3,Justin Jefferson,WR,3
6,4,Nico Collins,WR,13
